8.511 0.039
9.542 0.195
10.515 0.125
11.546 0.126
12.462 0.178
13.550 0.183
14.523 0.186
15.553 0.146
16.527 0.286
17.500 0.304
18.531 0.193
19.561 0.137
20.534 0.195
21.508 0.137
22.538 0.165
23.511 0.142
24.542 0.134
25.515 0.109
26.489 0.071
27.519 0.071
28.550 0.063
29.523 0.091
30.496 0.038
31.469 0.065
32.500 0.044
33.473 0.036
34.504 0.023
35.477 0.015
36.508 0.021
37.481 0.026
38.511 0.020
39.485 0.036
40.515 0.032
41.489 0.020
42.519 0.014
43.492 0.024
44.466 0.012
45.496 0.011
46.469 0.012
